Unnamed: 0,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,archivo
125,126,Bad Bunny,Enséñame a Bailar,49,9,328293,Argentina_2022_limpio.csv
126,127,Camilo,Pegao,109,7,328012,Argentina_2022_limpio.csv
127,128,"Bad Bunny, Tainy",Callaita,2,73,324779,Argentina_2022_limpio.csv
128,129,La K'onga,Te perdiste mi amor,71,29,323752,Argentina_2022_limpio.csv
129,130,Ingratax,París,13,50,323629,Argentina_2022_limpio.csv
130,131,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,30,15,323524,Argentina_2022_limpio.csv
131,132,Airbag,Por Mil Noches,69,129,322531,Argentina_2022_limpio.csv
132,133,"Maluma, Chencho Corleone",Nos Comemos Vivos,133,4,322471,Argentina_2022_limpio.csv
133,134,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),130,2,320509,Argentina_2022_limpio.csv
134,135,Zion & Lennox,Yo Voy (feat. Daddy Yankee),102,19,319705,Argentina_2022_limpio.csv
135,136,"Alan Gomez, Mesita",MESITA | Mission 05,21,35,319570,Argentina_2022_limpio.csv
136,137,WOS,MELÓN VINO,7,119,317566,Argentina_2022_limpio.csv
137,138,"MYA, TINI, Duki",2:50 Remix,1,55,315108,Argentina_2022_limpio.csv
138,139,Trueno,DANCE CRIP,3,33,314357,Argentina_2022_limpio.csv
139,140,Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,58,233,312407,Argentina_2022_limpio.csv
140,141,"Aitana, Nicki Nicole",Formentera,126,28,311145,Argentina_2022_limpio.csv
141,142,"Migrantes, FABRO, Rei, Nico Valdi",Superclásico,123,6,310285,Argentina_2022_limpio.csv
142,143,No Te Va Gustar,A las Nueve,99,184,307574,Argentina_2022_limpio.csv
143,144,Lali,Disciplina,83,10,306591,Argentina_2022_limpio.csv
144,145,"Eladio Carrion, Nicki Nicole",Nota,78,7,303950,Argentina_2022_limpio.csv
145,146,"Camila Cabello, Maria Becerra",Hasta Los Dientes,80,13,303639,Argentina_2022_limpio.csv
146,147,"Alejo, Feid, ROBI",Pantysito,70,15,302824,Argentina_2022_limpio.csv
147,148,"TINI, Manuel Turizo",Maldita Foto,12,46,302581,Argentina_2022_limpio.csv
148,149,LIT killah,La Trampa es Ley,2,21,301971,Argentina_2022_limpio.csv
149,150,"Duki, Mora",Amor Bipolar,62,2,301295,Argentina_2022_limpio.csv
150,151,Intoxicados,Nunca quise,68,284,299765,Argentina_2022_limpio.csv
151,152,"Mora, Bad Bunny, Sech",Volando - Remix,15,52,297563,Argentina_2022_limpio.csv
152,153,Joji,Glimpse of Us,108,3,294985,Argentina_2022_limpio.csv
153,154,"Fuego, Manuel Turizo, Duki",Una Vaina Loca,3,37,294426,Argentina_2022_limpio.csv
