rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
132,"spotify:track:63bmZnBN1CiJ9sA4qTEe8y","Christian Nodal","Adiós Amor","Universal Music Mexico",9,124,184,"615073"
133,"spotify:track:0pqnGHJpmpxLKifKRmU6WP","Imagine Dragons","Believer","Kid Ina Korner / Interscope",34,147,178,"609487"
134,"spotify:track:0zRc5cHuMrulujN8t1XbYE","Alejandro Fernández","Te Olvidé","UMLE - Latino",58,128,24,"609367"
135,"spotify:track:6RyaV7owmVU6fzEPE17sF1","Daddy Yankee","Que Tire Pa Lante","El Cartel Records (EC3)",9,140,37,"608529"
136,"spotify:track:4z6wo6PJG4Fve45OXK6D9m","Arcángel, Bad Bunny","Infeliz","Rimas Entertainment LLC.",22,126,28,"605227"
137,"spotify:track:63USmok1OioBzKuWGW9wAg","Los Ángeles Azules, Natalia Lafourcade","Nunca Es Suficiente","Promotodo Mexico",13,116,105,"605128"
138,"spotify:track:4j4w4CXm6BSr0s25wAWrrX","Bad Bunny, Yaviah","Bichiyal","Rimas Entertainment LLC",16,131,18,"604374"
139,"spotify:track:3K6noLeoPTQJ5jUErC8jT5","Calibre 50","Simplemente Gracias","Andaluz Music, LLC",46,113,60,"602116"
140,"spotify:track:45sVRPegWSGpIcsrDoaaCY","La Adictiva","En Peligro de Extinción","Anval Music",20,118,101,"599667"
141,"spotify:track:6Pur3hWy6Nzc27ilmsp5HA","Los Enanitos Verdes","Lamento Boliviano","EMI Latin",84,137,97,"596431"
142,"spotify:track:1l77YWrGUp3qX3NS1rz7lq","Banda MS de Sergio Lizárraga","El Color de Tus Ojos","Lizos Music",24,130,142,"593332"
143,"spotify:track:7BwxbmYFy0l3ROHDjV2c14","Luis Miguel","Culpable O No - Miénteme Como Siempre","WEA Latina",4,132,110,"592272"
144,"spotify:track:4prmUBle7TtAeeUgCnsc3Z","Christian Nodal","Probablemente","Universal Music Mexico",12,138,160,"589918"
145,"spotify:track:4YqCBC4FwzGXuhixt5cgmm","Ghetto Kids, Guaynaa, Mad Fuentes","Tra Tra Tra Remix - Remix","Ghetto Kids",14,142,54,"589318"
146,"spotify:track:4XC7YfQYxDuUa7I287yeWw","Cardenales De Nuevo León","Belleza De Cantina","Universal Music Mexico",112,112,48,"585022"
147,"spotify:track:4VgYtXCVJ7IbWAZ5ryfvEQ","Nicky Jam, Daddy Yankee","Muévelo","Sony Music Latin",19,144,25,"581673"
148,"spotify:track:5XR1WyZ0uOSHRNhP85QxT4","KURT","La Mujer Perfecta","Universal Music Mexico",31,136,99,"581211"
149,"spotify:track:5vdp5UmvTsnMEMESIF2Ym7","Queen","Another One Bites The Dust - Remastered 2011","EMI",6,151,93,"571463"
150,"spotify:track:4bTZeO72FwMa6wKOiqoynL","Sech, Ozuna, Anuel AA, Darell, Nicky Jam","Otro Trago - Remix","Rich Music",7,146,49,"570659"
151,"spotify:track:3dkEwOKhFselY2m22Nj2vi","Grupo Firme, Banda Coloso","El Amor No Fue Pa´ Mí - En Vivo","Music VIP Entertainment",60,149,38,"568664"
152,"spotify:track:7LH2UUuyMHt7035PLZQ8wx","Junior H, Natanael Cano","Disfruto Lo Malo","Rancho Humilde",101,148,18,"566609"
153,"spotify:track:3cExeifTyKQSMLLwG70wIo","Los Dos Carnales","El Envidioso","Afinarte Music",127,127,3,"563286"
154,"spotify:track:1ndyl3wJCFs872XZ3ztPk6","Justin Quiles, NATTI NATASHA, Farruko, Lenny Tavárez, Dalex, Zion","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","WEA Latina",41,154,43,"561918"
155,"spotify:track:5w9c2J52mkdntKOmRLeM2m","Daddy Yankee, Snow","Con Calma","El Cartel Records (EC3)",1,167,75,"556551"
156,"spotify:track:7g8YaUQABMal0zWe7a2ijz","Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez","Pa Mí - Remix","Rich Music/Ingrooves Records",3,160,70,"555925"
157,"spotify:track:4u7EnebtmKWzUH433cf5Qv","Queen","Bohemian Rhapsody - Remastered 2011","EMI",3,161,179,"554581"
158,"spotify:track:4DpNNXFMMxQEKl7r0ykkWA","Melanie Martinez","Play Date","Atlantic Records",158,170,6,"553964"
159,"spotify:track:4RaWbMItxVbuUExNkFsITP","Nio Garcia, Brray, Juanka","La Jeepeta","2019 Flow La Movie, Inc. | Distributed by GLAD Empire, LLC.",159,-1,1,"552877"
160,"spotify:track:3qRv6M9TyPVTeeTSjXBj9C","Natanael Cano, Lil Tecca","Dime Pa Que","Rancho Humilde",160,-1,1,"548890"
161,"spotify:track:2Fxmhks0bxGSBdJ92vM42m","Billie Eilish","bad guy","Darkroom/Interscope Records",7,166,66,"548485"
162,"spotify:track:0tKl8ZVM6xJkhznvJAS3Nq","Junior H","Ella","Rancho Humilde",124,155,24,"542654"
163,"spotify:track:2xLMifQCjDGFmkHkpNLD9h","Travis Scott","SICKO MODE","Cactus Jack / Epic",29,153,23,"542605"
164,"spotify:track:00PVGsjnTVMQJQlxV4puoa","Natanael Cano, RobGz, Ovi","Yo Vengo De Barrio","Rancho Humilde",164,-1,1,"535649"
165,"spotify:track:132ALUzVLmqYB4UsBj5qD6","Paulo Londra","Adan y Eva","WEA Latina",2,177,87,"535555"
166,"spotify:track:3AzjcOeAmA57TIOr9zF1ZW","Dua Lipa","Physical","Warner Records",25,176,22,"534846"
167,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",119,164,99,"534342"
168,"spotify:track:7hynhxDoDpgMIV12JuVtNa","J Balvin, Bad Bunny, Marciano Cantero","UN PESO","Universal Music Latino / Rimas",24,179,53,"534332"
169,"spotify:track:1LIqNVhaIgxXUt2eVoIQJ3","Maluma","HP","Sony Music Latin",1,192,70,"534170"
170,"spotify:track:6JpA44skFrcFKWuVWD01Mk","DJ Pablito, La Factoria, Joycee","Todavía","Dj Pablito",154,158,22,"534138"
171,"spotify:track:3a29UVSEIj6x3YcfKs2rdi","Camilo","El Mismo Aire","Sony Music Latin",57,150,11,"534100"
172,"spotify:track:6vPAmoERUMRoTZaCCSWQ12","Luis Miguel","Hasta Que Me Olvides","WEA Latina",84,173,46,"532827"
173,"spotify:track:6gBFPUFcJLzWGx4lenP6h2","Travis Scott","goosebumps","Cactus Jack / Epic",41,165,10,"532754"
174,"spotify:track:4HYDUMY0xSpeBr0AMY9cUz","Jay Wheeler, DJ Nelson, Myke Towers","La Curiosidad","Linked Music / Dynamic Records / EMPIRE",174,-1,1,"531877"
175,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",175,-1,1,"528173"
176,"spotify:track:4GGwM2Krtlx9G9ii1RaEOx","Dalex, Lenny Tavárez, Anitta, NATTI NATASHA, Farruko, Justin Quiles","Bellaquita (Remix)","Rich Music",65,139,31,"528079"
177,"spotify:track:2rRJrJEo19S2J82BDsQ3F7","Trevor Daniel","Falling","Alamo",68,172,29,"527503"
178,"spotify:track:2b8fOow8UzyDFAE27YhOZM","Maroon 5","Memories","Interscope Records*",27,185,38,"526450"
179,"spotify:track:6fNJm8sYmCBbmkKpKgTReA","Camilo","La Difícil","Sony Music Latin",56,156,27,"525561"
180,"spotify:track:2G74yhtIMW8tJY5I83dS4Z","Reyli Barba","Amor del Bueno","Pop Music",132,157,61,"525030"
181,"spotify:track:1syf62zw48zu4FrPwMtDHk","J Balvin","Gris","UMLE - Latino",33,168,15,"522851"
182,"spotify:track:0VKkyBKCXyR99navhVRqcP","Zion & Lennox","La player (Bandolera)","WEA Latina",9,189,87,"518813"
183,"spotify:track:1Wrzhfa5bNlqvsnCztz190","Hombres G","Devuélveme a mi chica","WM Spain",72,187,151,"518805"
