rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
65,"spotify:track:71M1szVbVYZM5M6QlIm6aC","Beret, Pablo Alborán","Sueño (con Pablo Alborán)","WM Spain",25,67,36,"584232"
66,"spotify:track:3JHpk0DOTOzyh0777JFAky","Myke Towers","Diosa","2020 One World Music & Casablanca Records | Powered by GLAD Empire, LL",2,59,22,"581453"
67,"spotify:track:35KmOEIUqAGn02t7n4qaIr","J Balvin","Morado","UMLE - Latino",2,62,25,"580066"
68,"spotify:track:6NfrH0ANGmgBXyxgV2PeXt","Bad Bunny","La Difícil","Rimas Entertainment LLC",2,65,18,"574090"
69,"spotify:track:74j34STf8L6uADnTN69ohv","Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex","El Efecto - Remix","(SME US Latin) Duars Entertainment, Corp. (2)",52,63,18,"570628"
70,"spotify:track:3EWxpqOSP0KWgUmRiklqGy","Chimbala, Juan Magán, Omar Montes, PV Aparataje","Rueda - Remix","Aparataje Music Group LLC",41,69,15,"567726"
71,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",71,77,8,"557307"
72,"spotify:track:4NCsrTzgVfsDo8nWyP8PPc","Black Eyed Peas, J Balvin","RITMO (Bad Boys For Life)","Epic",2,68,38,"544030"
73,"spotify:track:4MWb6mltydQn84NrTm7Gpl","Micro TDH, Rels B, Lenny Tavárez, Justin Quiles","Dime Cuantas Veces (Remix) [feat. Justin Quiles]","WEA Latina",73,-1,1,"536029"
74,"spotify:track:3PfIrDoz19wz7qK7tYeu62","Dua Lipa","Don't Start Now","Warner Records",20,71,35,"524983"
75,"spotify:track:5Xhqh4lwJPtMUTsdBztN1a","Shakira, Anuel AA","Me Gusta","Sony Music Latin",2,75,25,"514206"
76,"spotify:track:4s45VgkknMFkdiGoUcjxQU","Sebastian Yatra, Rauw Alejandro, Manuel Turizo","TBT","UMLE - Latino",45,73,19,"502888"
77,"spotify:track:5Cbo7oz78gqkzV3EAM63VA","Aitana, Cali Y El Dandee","+","Universal Music Spain S.L.",2,78,29,"493305"
78,"spotify:track:1syf62zw48zu4FrPwMtDHk","J Balvin","Gris","UMLE - Latino",8,66,15,"490493"
79,"spotify:track:4VgYtXCVJ7IbWAZ5ryfvEQ","Nicky Jam, Daddy Yankee","Muévelo","Sony Music Latin",10,79,25,"482621"
80,"spotify:track:5XUtUnUsJ1PAkLZIiCfUD5","Aitana, Reik","Enemigos","Universal Music Spain S.L.",13,83,7,"480188"
81,"spotify:track:5poUJOhLyalGkUedn3ggeX","Anuel AA, Mariah Angeliq","Bandido","2020 Real Hasta La Muerte, LLC",49,74,5,"479264"
82,"spotify:track:3W87IIdSOE63W0Qyhy7r2b","Beret","Si por mi fuera","WM Spain",3,81,37,"459456"
83,"spotify:track:3u5GmyJP2MU3tEJgyiAG2T","Sinsinati, Álvaro De Luna","Indios y Vaqueros","WM Spain",19,84,52,"455255"
84,"spotify:track:0AJKRuWjsVn6B43gm5HfjV","Dvicio, Reik, ChocQuibTown","DOSIS","Sony Music Entertainment",56,80,34,"453054"
85,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",85,86,11,"450312"
86,"spotify:track:2gMXnyrvIjhVBUZwvLZDMP","Lewis Capaldi","Before You Go","Vertigo Berlin",86,102,18,"446688"
87,"spotify:track:2AviITab6bCBtts9zJIPYz","Guitarricadelafuente","Ya mi mama me decía","Sony Music Entertainment",87,-1,1,"442072"
88,"spotify:track:1sPw28uimhBPPvxpwmfljV","Sinsinati, Álvaro De Luna","Cuando Éramos Dos","WM Spain",74,89,13,"441876"
89,"spotify:track:5EnaxC9amhXY55ezw87SL8","Dani Fernández","Bailemos","WM Spain",89,92,12,"440172"
90,"spotify:track:5kbps8unnGH4raN5WduZuq","Sech, Daddy Yankee","Confía","Rich Music",34,82,6,"436077"
91,"spotify:track:6DBrjC8T0cfJktCmosS44w","Rvfv","Gracias a Diosito","NASTU MUSIC",88,88,5,"435872"
92,"spotify:track:2635EEV2Oi6wg6GV2TPYVx","Kafu Banton, Bad Gyal","Tu Eres Un Bom Bom - Remix","Aftercluv Dancelab",15,72,12,"431454"
93,"spotify:track:4BNqM0h2wukiQkAUKZjurV","David Otero, Taburete","Una Foto en Blanco y Negro","Altafonte",88,91,23,"428841"
94,"spotify:track:6K7V47wFpfam2aeE893rbL","Jey Blessing, Rauw Alejandro, Los Fantastikos","Suave - Remix","Duars Entertainment, LLC",54,112,31,"426911"
95,"spotify:track:59s0s39NFWScuHDbHytI14","Reik, J Balvin, Lalo Ebratt","Indeciso","Indeciso",3,85,45,"423195"
96,"spotify:track:3AzjcOeAmA57TIOr9zF1ZW","Dua Lipa","Physical","Warner Records",38,98,22,"420637"
97,"spotify:track:1IDFcb3cjkj2dhv3UaxX9b","Danny Romero, Lérica","De Tranquilote","24/7 Management & The Nova Management",5,93,52,"418788"
98,"spotify:track:3vAn0qZzdyuHamcrpkfiX3","BLACKPINK","How You Like That","YG Entertainment/Interscope Records",98,-1,1,"418222"
99,"spotify:track:7eJMfftS33KTjuF7lTsMCx","Powfu, beabadoobee","death bed (coffee for your head)","Columbia",42,95,16,"416159"
100,"spotify:track:6nGM44ZP7vSo0istUW2MOq","Farruko, Beéle, NATTI NATASHA, Manuel Turizo","Loco - Remix","Hear This Music",70,87,10,"415569"
101,"spotify:track:6uW0PIRcyZLvkoonm763xD","Don Patricio, Cruz Cafuné","Contando Lunares (feat. Cruz Cafuné)","WM Spain",1,99,74,"415221"
102,"spotify:track:3YntiCUU0Xqq0B68FM3YAt","Myke Towers","Rutina","2019 Casablanca Records & One World Music | Distributed by GLAD Empire",32,96,28,"414946"
103,"spotify:track:4R8BJggjosTswLxtkw8V7P","Jhayco, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",4,97,59,"413526"
104,"spotify:track:0zlnHTHiBQ68ZCAmTw5ozm","Rauw Alejandro","Algo Mágico","Sony Music Latin/Duars Entertainment",104,-1,1,"411729"
105,"spotify:track:3qM0vBxIe4VUbK0Z0smuVP","Jhayco, Anuel AA, J Balvin","Medusa","N&E Entertainment LLC",5,90,22,"410018"
106,"spotify:track:0A37XY67wSdGqkGjtfW6aV","Rauw Alejandro, Anuel AA, NATTI NATASHA, Farruko, Lunay","Fantasias - Remix","(SME US Latin) Duars Entertainment, Corp. (2)",15,76,17,"402849"
107,"spotify:track:2vI4SxtYqAQD5h1nSrqfKM","Gente De Zona, Becky G","Muchacha","Sony Music Latin/Magnus",107,111,10,"402807"
108,"spotify:track:7ju97lgwC2rKQ6wwsf9no9","Lady Gaga, Ariana Grande","Rain On Me (with Ariana Grande)","Interscope",29,101,6,"402262"
109,"spotify:track:2btKz4s1XrMn5VHe7xZJpi","NATTI NATASHA","Que Mal Te Fue","Pina Records",89,105,4,"391726"
110,"spotify:track:5tzOL69W6lCp4gAomIXMnJ","Pole., Pilar Moxó","Quédate conmigo","Sony Music Entertainment",38,106,21,"391595"
111,"spotify:track:2ptZxf0K480OMZbODKZhVC","Miki Núñez","Me Vale","Universal Music Spain S.L.",109,117,7,"391586"
112,"spotify:track:7BEPdOI0neT6p7PnLViqmH","Morat, Sebastian Yatra","Bajo La Mesa","Universal Music Spain S.L.",62,100,6,"390003"
113,"spotify:track:7bsqRe39lKOYX45FZpzP9o","Lérica, Juan Magán","Fuera De Mi Mente","Universal Music Spain S.L.",20,110,34,"386542"
114,"spotify:track:34LI7rwi9H8w2S5KTHnv1M","Manuel Turizo","Quiéreme Mientras Se Pueda","Sony Music Latin/La Industria",114,114,8,"386440"
115,"spotify:track:4xI3U4sDj1TPmO9Iz5TkYp","El Alfa, Darell, Noriel","4K","EL JEFE RECORDS LLC",53,107,16,"386378"
116,"spotify:track:38RIEav39FGi86jppxO0du","Bad Bunny, Sech","Ignorantes","Rimas Entertainment LLC",5,104,20,"384386"
117,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",117,146,3,"375010"
118,"spotify:track:0gSNix8gxw7JhUTeC0RnAS","DELLAFUENTE, Rels B","Pa Que No Te Duermas","Sony Music Entertainment",54,94,4,"373676"
119,"spotify:track:7BlBVFwvbWvcwNcUarQmjk","ROSALÍA, Ozuna","Yo x Ti, Tu x Mi","Columbia",2,116,46,"372378"
120,"spotify:track:5eEQCfq7MXQr6aHLNRUZLs","Anuel AA","Keii","2020 Real Hasta La Muerte, LLC",2,103,21,"369963"
121,"spotify:track:6uzGmmQ4CuG9HvZktEy0LF","Manuel Carrasco","Qué Bonito Es Querer","Universal Music Spain S.L.",39,120,52,"367247"
122,"spotify:track:5pXy29xzxR3aTB0SYRI590","J Balvin","Blanco","UMLE - Latino",7,109,33,"366555"
123,"spotify:track:52zq2a71SGs3f1vJuv59ui","Juanfran","Como Llora","DN7 Music",123,137,4,"364378"
124,"spotify:track:2TH65lNHgvLxCKXM3apjxI","Bad Bunny, Tainy","Callaita","Rimas Entertainment LLC",1,127,57,"359352"
125,"spotify:track:466cKvZn1j45IpxDdYZqdA","Drake","Toosie Slide","OVO",61,121,13,"356937"
126,"spotify:track:56Ta1O7Jxxpjnc6cWdDKUo","Reik, Farruko, Camilo","Si Me Dices Que Sí","Sony Music México",115,115,11,"356299"
127,"spotify:track:1OW47kPsWJfvhcQ7V7XwhC","Myke Towers, Yandel","Mayor","2020 White World Music | Powered by GLAD Empire, LLC",127,168,3,"355360"
128,"spotify:track:4Pu0a2TuHOYtI4CCE3HEXI","Arcángel, Sech, Romeo Santos","Sigues Con El - Remix","Rimas Entertainment LLC.",38,122,12,"355335"
129,"spotify:track:5iwz1NiezX7WWjnCgY5TH4","Pedro Capó, Farruko","Calma - Remix","Sony Music Latin",2,128,84,"354001"
130,"spotify:track:3CCPAxHcGuTL43u4U9euVo","Danny Romero, Juan Magán","El Hipo","The Nova Management",130,181,2,"353883"
131,"spotify:track:6mAN61JH0dzyZpWslS11jy","Rauw Alejandro, Farruko","Fantasias","(SME US Latin) Duars Entertainment, Corp. (2)",3,119,44,"351320"
132,"spotify:track:2w1rq80FIrbxeJy9WYURxw","KAROL G, Anuel AA","Follow","UMLE - Latino",12,113,13,"349912"
133,"spotify:track:3Dv1eDb0MEgF93GpLXlucZ","Doja Cat","Say So","Kemosabe Records/RCA Records",99,151,18,"348502"
134,"spotify:track:2nfFzgqp18tzFWrUCxFHpo","Black Eyed Peas, Maluma","FEEL THE BEAT","Epic",134,149,2,"342549"
135,"spotify:track:3eJMSq78dDaFb7VvhNFnq6","Maluma","ADMV","Sony Music Latin",65,144,10,"341517"
