rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
98,Paulo Londra,Tal Vez,2,65,741897,Mexico
99,Alejandro Fernández,Me Dediqué a Perderte,73,184,739518,Mexico
100,Mi Banda El Mexicano,Ramito De Violetas,65,20,735763,Mexico
101,"Pepe Aguilar, Melissa Robles, Ángela Aguilar, La Marisoul",Prometiste,58,146,733748,Mexico
102,"Tainy, Anuel AA, Ozuna",Adicto (with Anuel AA & Ozuna),6,45,722897,Mexico
103,Luis Miguel,La Incondicional,26,117,722140,Mexico
104,Danna Paola,TQ Y YA,104,1,712954,Mexico
105,"J Balvin, Bad Bunny",QUE PRETENDES,6,53,712777,Mexico
106,"ROSALÍA, J Balvin, El Guincho",Con Altura,7,66,712651,Mexico
107,Post Malone,Circles,30,44,699980,Mexico
108,Chayín Rubio,Ya Me Enteré,61,46,697851,Mexico
109,"Grupo Firme, Luis Alfonso Partida El Yaki",Cada Vez Te Extraño Más,70,32,695981,Mexico
110,"Sech, Darell",Otro Trago,1,62,686092,Mexico
111,"Natanael Cano, Ovi",Pacas Verdes,60,15,678119,Mexico
112,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",112,1,674079,Mexico
113,"Aya Nakamura, Maluma",Djadja (feat. Maluma) - Remix,113,1,669420,Mexico
114,Alejandro Fernández,Caballero,40,39,667152,Mexico
115,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,3,90,658997,Mexico
116,Harry Styles,Adore You,56,30,657975,Mexico
117,LP,Lost on You,30,96,657596,Mexico
118,Rels B,A Mí,76,71,656665,Mexico
119,"Ir Sais, Rauw Alejandro",Dream Girl - Remix,119,4,655321,Mexico
120,Manuel Turizo,Quiéreme Mientras Se Pueda,120,5,653714,Mexico
121,Danna Paola,Sola,68,5,648922,Mexico
122,Junior H,Mente Positiva,122,8,648379,Mexico
123,"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,86,21,646516,Mexico
124,"El Alfa, Chael Produciendo",Singapur,124,1,642712,Mexico
125,León Larregui,Brillas,43,184,640255,Mexico
126,"Pedro Capó, Farruko",Calma - Remix,1,89,637208,Mexico
127,Anuel AA,Reggaetonera,127,3,627959,Mexico
128,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,8,89,623443,Mexico
129,"Adriel Favela, Javier Rosas Y Su Artillería Pesada",La Escuela No Me Gustó,54,73,623172,Mexico
