rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
154,Lewis Capaldi,Bruises,66,49,4752861,Global
155,Ali Gatie,It's You,27,55,4725760,Global
156,Post Malone,Wow.,2,80,4719975,Global
157,Ava Max,Sweet but Psycho,6,92,4704777,Global
158,Lil Baby,Emotionally Scarred,142,3,4633237,Global
159,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,29,33,4628759,Global
160,"J Balvin, Bad Bunny",LA CANCIÓN,17,53,4606136,Global
161,"The Chainsmokers, Coldplay",Something Just Like This,2,143,4600629,Global
162,Juice WRLD,All Girls Are The Same,48,45,4596434,Global
163,Lil Uzi Vert,Myron,32,16,4593309,Global
164,TWICE,MORE & MORE,67,5,4592745,Global
165,"Kygo, Whitney Houston",Higher Love,31,52,4581744,Global
166,Megan Thee Stallion,Girls in the Hood,166,1,4577209,Global
167,"Kina, Snøw",Get You The Moon (feat. Snøw),95,55,4574684,Global
168,Polo G,21,168,1,4548161,Global
169,Bring Me The Horizon,Parasite Eve,169,1,4545883,Global
170,Jonas Brothers,Sucker,2,70,4543863,Global
171,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",171,1,4541828,Global
172,"Arcángel, Sech, Dímelo Flow",Sigues Con El,21,28,4529992,Global
173,"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,20,58,4521445,Global
174,Post Malone,Better Now,1,113,4508160,Global
175,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto - Remix,158,8,4484316,Global
176,Dean Lewis,Be Alright,12,98,4479560,Global
177,"iann dior, Lil Baby",Prospect (ft. Lil Baby),177,1,4457029,Global
178,"The Chainsmokers, Halsey",Closer,2,151,4451536,Global
179,Vance Joy,Riptide,179,3,4440711,Global
180,Ariana Grande,"thank u, next",1,86,4431406,Global
181,Lauv,I Like Me Better,29,159,4430642,Global
182,Panic! At The Disco,High Hopes,9,99,4426791,Global
183,Noah Cyrus,July,77,34,4418941,Global
184,Imagine Dragons,Thunder,8,142,4405398,Global
185,"Drake, Rick Ross",Money In The Grave (Drake ft. Rick Ross),5,55,4403348,Global
186,The Killers,Mr. Brightside,148,40,4400112,Global
187,Queen,Don't Stop Me Now - Remastered 2011,51,64,4385366,Global
188,"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),25,9,4385148,Global
189,"Boomdabash, Alessandra Amoroso",Karaoke,189,1,4374448,Global
190,"Khalid, Disclosure",Know Your Worth,36,21,4374392,Global
191,Jason Mraz,I'm Yours,124,58,4373772,Global
192,Don Toliver,No Idea,26,31,4369849,Global
193,Avicii,Wake Me Up,13,27,4357816,Global
194,Pashanim,Airwaves,145,7,4352767,Global
195,Passenger,Let Her Go,170,12,4341552,Global
196,BLACKPINK,Kill This Love,5,21,4341050,Global
197,Harry Styles,Lights Up,5,35,4325411,Global
198,Selena Gomez,Lose You To Love Me,1,37,4322088,Global
199,"Maroon 5, Cardi B",Girls Like You (feat. Cardi B) - Cardi B Version,2,100,4318772,Global
200,"Bad Bunny, Don Omar",PA' ROMPERLA,47,8,4312675,Global
